ESRB_rating,average_user_score,developer,genres,metascore,platform,publisher,release_date,summary,title,url
T,7.6,Criterion Games,"Driving, Racing, Arcade",94.0,Xbox,EA Games,"Sep  7, 2004","Burnout 3 challenges you to crash into (and through) busy intersections, while creating as much damage as possible. You can battle your way to the front of the pack by taking down rivals and causing spectacular crashes. For those who thirst for crashes, the game includes a crash mode that rewards you for creating massive pileups. With multiplayer gameplay, more than 100 events, and 40 tracks, Burnout 3 provides intense speed and action.",Burnout 3: Takedown,https://www.metacritic.com/game/xbox/burnout-3-takedown
T,8.5,TimeGate Studios,"Strategy, Real-Time, Military, General, Military",65.0,PC,Atari,"Nov  2, 2004","In Axis & Allies: RTS, players relive and experience the most epic struggle in the history of mankind, World War II. Players direct the military and economic destiny of any one of the world's most powerful countries - United States, England, Germany, The Soviet Union or Japan. Axis & Allies: RTS not only captures the intensity of war but also allows players to change the outcome of the major battles and campaigns of World War II. Confronted with the strategic and tactical situations experienced by the top generals and national leaders of the period, players have to make critical decisions that determine the fate and the destiny of the world. Axis & Allies: RTS features gameplay elements such as unique organization of units; command of land, sea, and air units in real-time; dynamic fronts and supply lines; interaction with Generals and Leaders of the era; and intense online play with a powerful random scenario generator. [Atari]",Axis & Allies,https://www.metacritic.com/game/pc/axis-allies
E,8.8,Microsoft Game Studios,"Sports, Traditional, Ice Hockey, Sim",65.0,Xbox,Microsoft Game Studios,"Nov 18, 2003","NHL Rivals 2004 is a dramatic hockey simulation that immerses gamers into a realistic and exciting hockey experience.  With more than 700 motion-captured animations, you can take one-timers, blast slap shots, and dish out the big body checks just like real NHL superstars.  You also can settle your hockey grudge matches and create their own rivalries online with Xbox Live and XSN Sports.  Control an NHL team on a quest to win the Stanley Cup, or take on your friends in a single game between two bitter rivals.",NHL Rivals 2004,https://www.metacritic.com/game/xbox/nhl-rivals-2004
E,7.7,Asobo Studio,"Action, Platformer, 3D",65.0,PlayStation 2,THQ,"Jun 26, 2007","Players relive the film's most thrilling moments as they assume the role of Remy, a young rat who dreams of becoming a great French chef, despite the obvious problem of being a rat. From the underground sewers to the bustling streets of Paris, players dash, glide and slide through 6 action-packed worlds filled with dangerous enemies, heists and perilous missions. Players can go head-to-head with their friends in multiplayer mini-games or navigate their way through a sensational rat race that turns the culinary world of Paris upside down. [THQ]",Disney/Pixar Ratatouille,https://www.metacritic.com/game/playstation-2/disneypixar-ratatouille
E,6.0,EA Canada,"Sports, Traditional, Team, Soccer, Sim, Sim",65.0,Wii,EA Sports,"Oct  9, 2007","EA has created a unique character of the celebrated Brazilian International soccer star that is playable in FIFA Soccer 08 on Wii. The Wii-exclusive Ronaldinho hosts a game mode designed and created exclusively for Wii called Footii Party with Ronaldinho. With this mode, EA introduces unique party games - including Table Soccer and Shoot Off – where you can play as your self-created Mii character to unlock Ronaldinho and take on the champ. Each Footii Party game is created as a multiplayer, social experience designed to engage and entertain fans of all ages. The game's FreeMotion controls help level the playing field for all players and turns FIFA Soccer 08 on Wii into a physical, social activity. It also provides gamers with an authentic soccer experience with more control. It's easy to pick-up and play and with the in-game Soccer Academy you can learn basic and advanced controls in more than 30 interactive tutorials. Each lesson teaches you how to master the FreeMotion controls and perform all the necessary movements to dominate on the pitch. [Electronic Arts]",FIFA Soccer 08,https://www.metacritic.com/game/wii/fifa-soccer-08
T,8.8,"Midway, Stainless Steel Studios","Strategy, Real-Time, Historic, General",64.0,PC,Midway,"Jun 12, 2006","Rise & Fall: Civilizations at War is the latest creation from award-winning developer Stainless Steel Studios and renowned game designer Rick Goodman. Rise & Fall: Civilizations at War is a detailed real-time strategy game that lets players completely command one of the four mightiest empires of the ancient world: Greece, Rome, Egypt, and Persia. Rise & Fall allows players to fight alongside their troops as one of history's eight greatest heroes, and bring victory to their nation on the battlefield. [Midway]",Rise & Fall: Civilizations at War,https://www.metacritic.com/game/pc/rise-fall-civilizations-at-war
T,6.9,PopTop Software,"Strategy, Turn-Based, Historic",66.0,Xbox,2K Games,"Oct 17, 2005","In Shattered Union, you can try to reunify the United States after a tragic series of events leaves it shattered into a half-dozen nation-states. Shattered Union is a turn-based strategy game where you can assume control of any of the nation-states or a European peacekeeping force. You get to observe the repercussions of your actions as you watch them unfold in 3D, and these decisions affect how the plot unfolds. Shattered Union also supports up to four players both online and offline.",Shattered Union,https://www.metacritic.com/game/xbox/shattered-union
T,6.2,Cryptic Studios,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi",66.0,PC,Atari,"Feb  2, 2010","In Star Trek Online, the Star Trek universe will appear for the first time on a truly massive scale. In this massively multiplayer online game from Cryptic Studios, players can pioneer their own destiny as Captain of a Federation starship. Or, they can become a Klingon Warlord and expand the Empire to the far reaches of the galaxy. Players will have the opportunity to visit iconic locations from the popular Star Trek fiction, reach out to unexplored star systems, and make contact with new alien species. With Episode Missions, every moment spent playing Star Trek Online will feel like a new Star Trek episode in which you are the star. Immerse yourself in the future of the Trek universe as it moves into the 25th century: a time of shifting alliances and new discoveries. [Atari]",Star Trek Online,https://www.metacritic.com/game/pc/star-trek-online
E,6.0,Stainless Games,"Miscellaneous, Compilation, Compilation",64.0,PSP,Atari,"Dec 19, 2007","No need to dust off your Atari 2600. These classic games are now available for you to take everywhere you go on the PSP system. Whether you’re looking for that classic, retro experience, or you’re looking for new-age graphics, each game will be playable in both classic and evolved forms to satisfy your itch. As an added bonus, you’ll be able to unlock over 50 Atari 2600 titles giving you non-stop gaming action. [Atari]",Atari Classics Evolved,https://www.metacritic.com/game/psp/atari-classics-evolved
T,7.3,Artdink,"Action, Fighting, Fighting, 3D, 3D",66.0,PlayStation Vita,Namco Bandai Games,"Jan 28, 2014","Developed by Tokyo based game developer ARTDINK; Dragon Ball Z Battle of Z will feature a large cast of playable characters including Goku, Piccolo, Vegeta, and a variety of melee and famous attacks including the Kamehameha, Special Beam Cannon, and Spirit Bomb. The epic battles in Dragon Ball Z Battle of Z derive their style from the original anime series and will take place in rich environments on both land and in the air. Dragon Ball Z Battle of Z will let players form teams with up to four characters to participate in group melee action, take on massive boss battles, or challenge other players around the world for brawls featuring up to eight characters on screen at the same time.",Dragon Ball Z: Battle of Z,https://www.metacritic.com/game/playstation-vita/dragon-ball-z-battle-of-z
E10+,7.3,Cornfox & Bros.,"Action Adventure, Open-World",66.0,Switch,FDG Entertainment,"Jun 22, 2017","You wake up and find a letter from your father. He is gone The only lead is his old notebook and a mysterious necklace. What happened?",Oceanhorn: Monster of Uncharted Seas,https://www.metacritic.com/game/switch/oceanhorn-monster-of-uncharted-seas
,7.6,Critique Gaming,"Adventure, General",67.0,PC,Mixtvision,"Dec  5, 2019","As a police detective tasked with bringing down a dangerous terrorist group, you fight on two fronts: interrogating suspects & managing your team and its reputation. With time running out, how far will you go to stop these criminals? Manipulation, threats or even torture? Does the end justify the means?",Interrogation: You will be deceived,https://www.metacritic.com/game/pc/interrogation-you-will-be-deceived
M,8.2,5pb,"Action Adventure, Adventure, General, Horror, Horror, Survival",67.0,PSP,XSEED Games,"Jan 15, 2013",,Corpse Party: Book of Shadows,https://www.metacritic.com/game/psp/corpse-party-book-of-shadows
E,7.0,Brainy Studio LLC,"Action, Platformer, 2D",67.0,Xbox One,Brainy Studio LLC,"Jun  1, 2016","The whole city has been plunged into darkness. After an accident at the power station, a living electric spark must restore electricity to the city and give citizens back their safe and carefree lives. ""TurnOn"" tells the spellbinding tale of a brave alien creature and its striking journey through blackout world, in an incredibly colorful and detailed platformer without platforms. Featuring a charming art style and visual storytelling, cute character personality, and a soothing and magical soundtrack, ""TurnOn"" makes the world the way it was before, but a little better and kinder.",TurnOn,https://www.metacritic.com/game/xbox-one/turnon
,tbd,Steedie,"Strategy, General",,PC,Steedie,"Aug  8, 2019",,Area 51,https://www.metacritic.com/game/pc/area-51
